"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0226,-3.422989063877334e-13,-2.543448618082417e-11,-3.422989063877334e-13,-2.543448618082417e-11
0.0227,-3.442321736566072e-13,-2.538028378412114e-11,-3.442321736566072e-13,-2.538028378412114e-11
0.0228,-3.46152227026435e-13,-2.532641304692514e-11,-3.46152227026435e-13,-2.532641304692514e-11
0.0229,-3.480590254791755e-13,-2.527287078775693e-11,-3.480590254791755e-13,-2.527287078775693e-11
0.023,-3.499525349904303e-13,-2.521965388774817e-11,-3.499525349904303e-13,-2.521965388774817e-11
0.0231,-3.518327253033917e-13,-2.516675926642294e-11,-3.518327253033917e-13,-2.516675926642294e-11
0.0232,-3.536995698709639e-13,-2.511418388116008e-11,-3.536995698709639e-13,-2.511418388116008e-11
0.0233,-3.555530457979906e-13,-2.506192472666015e-11,-3.555530457979906e-13,-2.506192472666015e-11
0.0234,-3.573931337835792e-13,-2.50099788344173e-11,-3.573931337835792e-13,-2.50099788344173e-11
0.0235,-3.592198180635247e-13,-2.49583432721958e-11,-3.592198180635247e-13,-2.49583432721958e-11
0.0236,-3.610330863528215e-13,-2.490701514351139e-11,-3.610330863528215e-13,-2.490701514351139e-11
0.0237,-3.628329297882628e-13,-2.485599158711689e-11,-3.628329297882628e-13,-2.485599158711689e-11
0.0238,-3.6461934287112e-13,-2.480526977649258e-11,-3.6461934287112e-13,-2.480526977649258e-11
0.0239,-3.663923234099004e-13,-2.475484691934102e-11,-3.663923234099004e-13,-2.475484691934102e-11
0.024,-3.681518724631761e-13,-2.470472025708607e-11,-3.681518724631761e-13,-2.470472025708607e-11
0.0241,-3.698979870188893e-13,-2.465488703758531e-11,-3.698979870188893e-13,-2.465488703758531e-11
0.0242,-3.716306528706799e-13,-2.460534448886552e-11,-3.716306528706799e-13,-2.460534448886552e-11
0.0243,-3.733498966272401e-13,-2.455609001045514e-11,-3.733498966272401e-13,-2.455609001045514e-11
0.0244,-3.750557294212437e-13,-2.450712096535207e-11,-3.750557294212437e-13,-2.450712096535207e-11
0.0245,-3.767481651093492e-13,-2.445843474701311e-11,-3.767481651093492e-13,-2.445843474701311e-11
0.0246,-3.784272202045481e-13,-2.441002877884609e-11,-3.784272202045481e-13,-2.441002877884609e-11
0.0247,-3.800929138085568e-13,-2.43619005137062e-11,-3.800929138085568e-13,-2.43619005137062e-11
0.0248,-3.817452675442458e-13,-2.431404743339657e-11,-3.817452675442458e-13,-2.431404743339657e-11
0.0249,-3.833843054881035e-13,-2.426646704817321e-11,-3.833843054881035e-13,-2.426646704817321e-11
0.025,-3.850100541027306e-13,-2.421915689625373e-11,-3.850100541027306e-13,-2.421915689625373e-11
0.0251,-3.866225421693591e-13,-2.41721145433304e-11,-3.866225421693591e-13,-2.41721145433304e-11
0.0252,-3.882218007203943e-13,-2.412533758208706e-11,-3.882218007203943e-13,-2.412533758208706e-11
0.0253,-3.898078629719732e-13,-2.407882363171992e-11,-3.898078629719732e-13,-2.407882363171992e-11
0.0254,-3.913807733772577e-13,-2.403257051324176e-11,-3.913807733772577e-13,-2.403257051324176e-11
0.0255,-3.929405759031755e-13,-2.398657602395152e-11,-3.929405759031755e-13,-2.398657602395152e-11
0.0256,-3.944873020173567e-13,-2.394083770718676e-11,-3.944873020173567e-13,-2.394083770718676e-11
0.0257,-3.960209942545419e-13,-2.3895353307363e-11,-3.960209942545419e-13,-2.3895353307363e-11
0.0258,-3.97541697105424e-13,-2.385012059509789e-11,-3.97541697105424e-13,-2.385012059509789e-11
