"time","ca_cyto.c.c","ca_nsr.c.c"
0.0482,4.698052735859995e-09,1.072678266024836
0.0483,4.598209356285106e-09,1.07267826989807
0.0484,4.500488080234894e-09,1.072678273688981
0.0485,4.404843733888143e-09,1.072678277399323
0.0486,4.311232051498364e-09,1.07267828103081
0.0487,4.219609646829187e-09,1.072678284585128
0.0488,4.129934397176135e-09,1.072678288063909
0.0489,4.042165727323014e-09,1.072678291468728
0.049,3.956262429835197e-09,1.072678294801184
0.0491,3.872184751788002e-09,1.072678298062818
0.0492,3.789893743784941e-09,1.072678301255141
0.0493,3.709351236098652e-09,1.072678304379635
0.0494,3.63052028454835e-09,1.072678307437732
0.0495,3.553365192637338e-09,1.072678310430818
0.0496,3.477849751525658e-09,1.072678313360296
0.0497,3.403939056460486e-09,1.072678316227521
0.0498,3.331598926914072e-09,1.07267831903382
0.0499,3.260795887202269e-09,1.072678321780489
0.05,3.191497432798275e-09,1.072678324468791
0.0501,3.123671899091008e-09,1.072678327099954
0.0502,3.057287707958775e-09,1.072678329675203
0.0503,2.992314211135816e-09,1.072678332195727
0.0504,2.928721401615603e-09,1.072678334662689
0.0505,2.866479896597275e-09,1.07267833707723
0.0506,2.805561109613835e-09,1.072678339440459
0.0507,2.74593708793523e-09,1.07267834175346
0.0508,2.687580174032417e-09,1.072678344017306
0.0509,2.630463428621599e-09,1.072678346233042
0.051,2.574560470614474e-09,1.072678348401691
0.0511,2.519845461404769e-09,1.072678350524256
0.0512,2.466293313904219e-09,1.07267835260171
0.0513,2.41387943637557e-09,1.072678354635007
0.0514,2.362579490410487e-09,1.072678356625091
0.0515,2.312369773973171e-09,1.072678358572881
0.0516,2.263227069176953e-09,1.072678360479279
0.0517,2.215128627973631e-09,1.072678362345167
0.0518,2.168052486723363e-09,1.072678364171397
0.0519,2.121977019486647e-09,1.072678365958808
0.052,2.076880778175464e-09,1.07267836770823
0.0521,2.032742913691646e-09,1.072678369420475
0.0522,1.989543001691173e-09,1.072678371096334
0.0523,1.94726103010148e-09,1.072678372736583
0.0524,1.905877747670431e-09,1.072678374341969
0.0525,1.865374103365589e-09,1.072678375913231
0.0526,1.825731243499142e-09,1.0726783774511
0.0527,1.786930842115995e-09,1.072678378956288
0.0528,1.748954949324168e-09,1.072678380429491
0.0529,1.711785980615077e-09,1.072678381871391
0.053,1.675407018357232e-09,1.072678383282644
0.0531,1.639801273554013e-09,1.072678384663901
0.0532,1.604952207184076e-09,1.072678386015804
0.0533,1.570843717240052e-09,1.072678387338978
0.0534,1.537460034285604e-09,1.072678388634035
0.0535,1.504785712186701e-09,1.072678389901574
0.0536,1.472805868097766e-09,1.072678391142171
0.0537,1.441505715319455e-09,1.072678392356401
0.0538,1.41087074402598e-09,1.072678393544827
0.0539,1.380886802318529e-09,1.072678394707997
0.054,1.351540030284838e-09,1.072678395846449
0.0541,1.322816851756649e-09,1.072678396960711
0.0542,1.294704196934465e-09,1.072678398051288
0.0543,1.267189040664501e-09,1.072678399118686
0.0544,1.240258638048057e-09,1.0726784001634
0.0545,1.213900545634408e-09,1.072678401185912
0.0546,1.188102575298817e-09,1.072678402186696
0.0547,1.162852786870419e-09,1.072678403166213
0.0548,1.138139727916845e-09,1.07267840412491
0.0549,1.113951913383983e-09,1.072678405063229
0.055,1.090278142865126e-09,1.072678405981609
0.0551,1.067107473920252e-09,1.072678406880471
0.0552,1.044429187852784e-09,1.072678407760232
0.0553,1.022232783194853e-09,1.0726784086213
0.0554,1.000508227245152e-09,1.072678409464062
0.0555,9.792453886100787e-10,1.072678410288914
0.0556,9.584344282477329e-10,1.072678411096236
0.0557,9.380657259288288e-10,1.072678411886401
0.0558,9.181298583276642e-10,1.072678412659775
0.0559,8.986175933344618e-10,1.072678413416716
0.056,8.795201276269902e-10,1.072678414157566
0.0561,8.608285309578314e-10,1.072678414882671
0.0562,8.425341643840527e-10,1.072678415592367
0.0563,8.246285720753191e-10,1.07267841628698
0.0564,8.071034717259724e-10,1.072678416966833
0.0565,7.899507539671774e-10,1.07267841763224
0.0566,7.731626709365816e-10,1.072678418283502
0.0567,7.567313711713029e-10,1.072678418920923
0.0568,7.406492652631132e-10,1.072678419544798
0.0569,7.249089207966964e-10,1.072678420155415
0.057,7.095030579806825e-10,1.072678420753056
0.0571,6.944245561446946e-10,1.072678421337998
0.0572,6.796665897881504e-10,1.072678421910505
0.0573,6.652222636059009e-10,1.072678422470845
0.0574,6.510849058515843e-10,1.072678423019277
0.0575,6.372479825801388e-10,1.072678423556055
0.0576,6.237050937813482e-10,1.072678424081425
0.0577,6.104499859345393e-10,1.072678424595632
0.0578,5.974766526799526e-10,1.072678425098908
