"time","l2.v","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
2.13,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.14,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.15,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.16,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.17,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.18,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.19,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.2,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.21,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.22,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.23,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.24,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.25,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.26,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.27,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.28,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.29,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.3,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.31,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.32,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.33,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.34,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.35,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.36,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.37,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.38,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.39,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.4,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.41,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.42,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.43,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.44,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.45,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.46,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.47,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.48,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.49,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.5,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.51,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.52,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.53,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.54,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.55,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.56,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.57,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.58,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.59,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.6,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.61,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.62,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.63,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.64,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.65,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.66,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.67,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.68,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.69,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.7,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.71,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.72,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.73,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.74,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.75,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.76,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.77,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.78,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.79,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.8,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.81,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.82,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.83,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.84,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.85,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.86,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.87,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.88,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.89,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.9,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.91,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.92,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.93,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.94,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.95,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.96,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.97,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.98,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
2.99,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.01,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.02,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.03,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.04,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.05,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.06,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.07,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.08,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.09,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.1,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.11,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.12,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.13,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.14,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.15,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.16,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.17,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.18,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.19,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.2,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.21,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.22,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.23,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.24,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.25,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.26,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.27,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.28,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.29,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.3,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
