"time","l2.v","act_steady","act_tau_fast","act_tau_slow","inact_steady","inact_tau","v","vc.v"
143,0.02300000000000086,0.980319211622481,0.02351422323250939,0.6369796653960541,0.1224816918606034,0.001234530594725308,0.02300000000000086,0.02300000000000086
144,0.02400000000000087,0.9824652845418863,0.0225997479165766,0.6172342859219413,0.1168702320853361,0.001225454118845371,0.02400000000000087,0.02400000000000087
145,0.0250000000000009,0.9843810694398153,0.02172058590092478,0.5982516895550966,0.1113891135650734,0.001216381379813386,0.0250000000000009,0.0250000000000009
146,0.02600000000000093,0.9860905054196683,0.02087540424463707,0.5800546069710013,0.1060463336692832,0.001207314753100552,0.02600000000000093,0.02600000000000093
147,0.02700000000000094,0.987615203613856,0.02006291654202198,0.5626596152516717,0.1008494766809336,0.001198256534501468,0.02700000000000094,0.02700000000000094
148,0.02800000000000097,0.9889746397041274,0.01928188177182232,0.5460774349652884,0.09580547917970597,0.001189208941410508,0.02800000000000097,0.02800000000000097
149,0.029000000000001,0.9901863379797786,0.01853110311095544,0.5303132634454556,0.09092044926462839,0.001180174114138344,0.029000000000001,0.029000000000001
150,0.03000000000000099,0.9912660454259836,0.01780942672380307,0.5153671378010722,0.08619953657943792,0.0011711541172638,0.03000000000000099,0.03000000000000099
151,0.03100000000000099,0.9922278949414122,0.01711574053650053,0.5012343212491913,0.0816468488894395,0.00116215094101645,0.03100000000000099,0.03100000000000099
152,0.03200000000000097,0.9930845572522662,0.01644897300429871,0.4879057065198188,0.07726541011854271,0.001153166502685625,0.03200000000000097,0.03200000000000097
153,0.03300000000000097,0.9938473814436474,0.01580809187886626,0.4753682303235295,0.07305715425555999,0.001144202648051693,0.03300000000000097,0.03300000000000097
154,0.03400000000000095,0.9945265242903536,0.015192102981345,0.4636052931894316,0.06902294933679616,0.00113526115283573,0.03400000000000095,0.03400000000000095
155,0.03500000000000095,0.9951310687562418,0.01460004898605004,0.4525971793609994,0.06516264575939364,0.001126343724163897,0.03500000000000095,0.03500000000000095
156,0.03600000000000093,0.9956691321596952,0.01403100821890241,0.4423214718690094,0.06147514342707627,0.001117452002043064,0.03600000000000093,0.03600000000000093
157,0.03700000000000093,0.9961479645853641,0.01348409347398214,0.4327534583724936,0.05795847262815668,0.00110858756084443,0.03700000000000093,0.03700000000000093
158,0.03800000000000092,0.9965740381697654,0.01295845085098084,0.4238665238587619,0.05460988404941897,0.001099751910792084,0.03800000000000092,0.03800000000000092
159,0.03900000000000092,0.9969531279090694,0.01245325861580473,0.4156325268110135,0.05142594389792089,0.001090946499453642,0.03900000000000092,0.03900000000000092
160,0.0400000000000009,0.9972903846383432,0.01196772608612151,0.4080221559763795,0.04840263070067261,0.00108217271323032,0.0400000000000009,0.0400000000000009
161,0.04100000000000089,0.9975904008181085,0.01150109254324842,0.4010052653887036,0.0455354309503989,0.001073431878843922,0.04100000000000089,0.04100000000000089
162,0.04200000000000088,0.9978572697405721,0.01105262617143826,0.3945511858102082,0.04281943134117713,0.001064725264818465,0.04200000000000088,0.04200000000000088
163,0.04300000000000089,0.9980946387376627,0.01062162302532606,0.3886290112466576,0.04024940587349597,0.001056054082954285,0.04300000000000089,0.04300000000000089
