"time","ca.cyto.con","ca.jsr.con","ca.nsr.con","ca.sub.con","cal.i_ion","naca.i_ion","cal.i","naca.i"
0.1181,0.0005476437260971899,0.06778504733288153,1.242395525382973,0.0004877952138717681,-1.812200178582697e-11,-1.90603446691119e-11,-1.812200178582697e-11,-1.90603446691119e-11
0.1182,0.0005474011240191829,0.06783217634941931,1.242431574493841,0.0004875386540503756,-1.809366060281235e-11,-1.904616076594938e-11,-1.809366060281235e-11,-1.904616076594938e-11
0.1183,0.0005471586526329999,0.06787933377155181,1.242467570254664,0.0004872822139565383,-1.80653513716432e-11,-1.903199258094451e-11,-1.80653513716432e-11,-1.903199258094451e-11
0.1184,0.0005469163117160152,0.06792651962145471,1.242503512685867,0.0004870258934478616,-1.803707409321707e-11,-1.901784010981416e-11,-1.803707409321707e-11,-1.901784010981416e-11
0.1185,0.0005466741010467376,0.06797373392124363,1.242539401807845,0.0004867696923855381,-1.800882876854041e-11,-1.900370334824807e-11,-1.800882876854041e-11,-1.900370334824807e-11
0.1186,0.0005464320204048092,0.06802097669297401,1.242575237640958,0.0004865136106343489,-1.798061539873127e-11,-1.898958229190892e-11,-1.798061539873127e-11,-1.898958229190892e-11
0.1187,0.000546190069571006,0.06806824795864118,1.242611020205533,0.0004862576480626622,-1.795243398502213e-11,-1.897547693643239e-11,-1.795243398502213e-11,-1.897547693643239e-11
0.1188,0.0005459482483272378,0.06811554774018035,1.242646749521864,0.0004860018045424346,-1.792428452876259e-11,-1.896138727742718e-11,-1.792428452876259e-11,-1.896138727742718e-11
0.1189,0.000545706556456548,0.06816287605946664,1.242682425610212,0.0004857460799492103,-1.789616703142228e-11,-1.89473133104751e-11,-1.789616703142228e-11,-1.89473133104751e-11
0.119,0.0005454649937431141,0.06821023293831503,1.242718048490804,0.000485490474162121,-1.786808149459369e-11,-1.893325503113113e-11,-1.786808149459369e-11,-1.893325503113113e-11
