"time","vc.i"
0.0618,-1.654513315497452e-12
0.0619,-1.656636707593681e-12
0.062,-1.65875890122732e-12
0.0621,-1.660879897120874e-12
0.0622,-1.662999695996413e-12
0.0623,-1.66511829857556e-12
0.0624,-1.667235705579502e-12
0.0625,-1.669351917728985e-12
0.0626,-1.671466935744312e-12
0.06270000000000001,-1.673580760345347e-12
0.06279999999999999,-1.675693392251517e-12
0.0629,-1.677804832181808e-12
0.063,-1.679915080854765e-12
0.0631,-1.682024138988498e-12
0.06320000000000001,-1.684132007300672e-12
0.0633,-1.686238686508519e-12
0.0634,-1.688344177328832e-12
0.0635,-1.690448480477963e-12
0.0636,-1.692551596671828e-12
0.06370000000000001,-1.694653526627442e-12
0.0638,-1.696754271059323e-12
0.0639,-1.698853830681534e-12
0.064,-1.700952206208284e-12
0.0641,-1.703049398353353e-12
0.06419999999999999,-1.705145407830084e-12
0.0643,-1.707240235351388e-12
0.0644,-1.70933388162974e-12
0.0645,-1.711426347377183e-12
0.0646,-1.713517633305329e-12
0.06469999999999999,-1.715607740125354e-12
0.0648,-1.717696668548006e-12
0.0649,-1.719784419283595e-12
0.065,-1.721870993042005e-12
0.06510000000000001,-1.723956390532685e-12
0.06519999999999999,-1.726040612464656e-12
0.0653,-1.728123659546505e-12
0.0654,-1.730205532486389e-12
0.0655,-1.732286231992036e-12
0.06560000000000001,-1.734365758770743e-12
0.06569999999999999,-1.736444113529377e-12
0.0658,-1.738521296974376e-12
0.0659,-1.740597309811276e-12
0.066,-1.742672152745933e-12
0.06610000000000001,-1.744745826483576e-12
0.06619999999999999,-1.746818331728915e-12
0.0663,-1.748889669186236e-12
0.0664,-1.750959839559392e-12
0.0665,-1.75302884355181e-12
0.06660000000000001,-1.755096681866491e-12
0.0667,-1.757163355206004e-12
0.0668,-1.759228864272496e-12
0.0669,-1.761293209767682e-12
0.067,-1.763356392392855e-12
0.06710000000000001,-1.765418412848878e-12
0.0672,-1.767479271836189e-12
0.0673,-1.769538970054803e-12
0.0674,-1.771597508204303e-12
0.0675,-1.773654886983853e-12
0.06759999999999999,-1.775711107092189e-12
0.0677,-1.777766169227623e-12
0.0678,-1.779820074088041e-12
0.0679,-1.781872822370907e-12
0.068,-1.78392441477326e-12
0.06809999999999999,-1.785974851990752e-12
0.0682,-1.788024134720308e-12
0.0683,-1.790072263657717e-12
0.0684,-1.792119239498302e-12
0.06850000000000001,-1.794165062936967e-12
0.06859999999999999,-1.796209734668193e-12
0.0687,-1.798253255386034e-12
0.0688,-1.800295625784125e-12
0.0689,-1.802336846555676e-12
0.06900000000000001,-1.804376918393477e-12
0.06909999999999999,-1.806415841989893e-12
0.0692,-1.80845361803687e-12
0.0693,-1.81049024722593e-12
0.0694,-1.812525730248176e-12
0.06950000000000001,-1.814560067794288e-12
0.0696,-1.816593260554523e-12
0.0697,-1.818625309218726e-12
0.0698,-1.820656214476312e-12
0.0699,-1.822685977016279e-12
0.07000000000000001,-1.824714597527209e-12
0.0701,-1.826742076697258e-12
0.0702,-1.828768415214173e-12
0.0703,-1.830793613765314e-12
0.0704,-1.832817673037549e-12
0.07049999999999999,-1.83484059371736e-12
0.0706,-1.836862376490816e-12
0.0707,-1.838883022043564e-12
0.0708,-1.840902531060833e-12
0.0709,-1.842920904227438e-12
0.07099999999999999,-1.844938142227772e-12
0.0711,-1.846954245745815e-12
0.0712,-1.848969215465127e-12
0.0713,-1.850983052068854e-12
0.07140000000000001,-1.852995756239724e-12
0.07149999999999999,-1.855007328660051e-12
0.0716,-1.85701777001173e-12
0.0717,-1.859027080976244e-12
0.0718,-1.861035262234657e-12
0.07190000000000001,-1.863042314467621e-12
0.07199999999999999,-1.865048238355372e-12
0.0721,-1.867053034577731e-12
0.0722,-1.869056703814105e-12
0.0723,-1.871059246743489e-12
0.07240000000000001,-1.873060664044569e-12
0.0725,-1.875060956395853e-12
0.0726,-1.877060124474749e-12
0.0727,-1.879058168958608e-12
0.0728,-1.881055090524365e-12
0.07290000000000001,-1.883050889848547e-12
0.073,-1.885045567607267e-12
0.0731,-1.887039124476227e-12
0.0732,-1.889031561130717e-12
0.0733,-1.891022878245619e-12
0.07340000000000001,-1.893013076495402e-12
0.0735,-1.895002156554122e-12
0.0736,-1.896990119095429e-12
0.0737,-1.898976964792563e-12
0.0738,-1.900962694318352e-12
0.07389999999999999,-1.902947308345216e-12
0.074,-1.904930807545166e-12
0.0741,-1.906913192589801e-12
0.0742,-1.908894464150318e-12
0.0743,-1.910874622897499e-12
0.07439999999999999,-1.912853669501722e-12
0.0745,-1.914831604632954e-12
0.0746,-1.916808428960727e-12
0.0747,-1.918784143154151e-12
0.07480000000000001,-1.92075874788203e-12
0.07489999999999999,-1.922732243812699e-12
0.075,-1.924704631614093e-12
0.0751,-1.926675911953736e-12
0.0752,-1.928646085498749e-12
0.07530000000000001,-1.930615152915845e-12
0.07539999999999999,-1.932583114871333e-12
0.0755,-1.934549972031114e-12
0.0756,-1.936515725060689e-12
0.0757,-1.938480374625149e-12
0.07580000000000001,-1.940443921389185e-12
0.0759,-1.942406366017079e-12
0.076,-1.944367709172713e-12
0.0761,-1.946327951519565e-12
0.0762,-1.948287093720707e-12
0.07630000000000001,-1.95024513643881e-12
0.0764,-1.952202080336141e-12
0.0765,-1.954157926074566e-12
0.0766,-1.956112674315546e-12
0.0767,-1.958066325720143e-12
0.07679999999999999,-1.960018880948743e-12
0.0769,-1.961970340661493e-12
0.077,-1.96392070551851e-12
0.0771,-1.965869976179236e-12
0.0772,-1.967818153302715e-12
0.07729999999999999,-1.969765237547586e-12
0.0774,-1.971711229572089e-12
0.0775,-1.973656130034063e-12
0.0776,-1.975599939590948e-12
0.07770000000000001,-1.977542658899782e-12
0.07779999999999999,-1.979484288617204e-12
0.0779,-1.981424829399452e-12
0.078,-1.983364281902366e-12
0.0781,-1.985302646781387e-12
0.07820000000000001,-1.987239924691558e-12
0.07829999999999999,-1.989176116287519e-12
0.0784,-1.991111222223516e-12
0.0785,-1.993045243153397e-12
0.0786,-1.994978179730608e-12
0.07870000000000001,-1.996910032608202e-12
0.0788,-1.998840802438831e-12
0.0789,-2.000770489874751e-12
0.079,-2.002699095567634e-12
0.0791,-2.00462662016896e-12
0.07920000000000001,-2.0065530643299e-12
0.0793,-2.008478428701119e-12
0.0794,-2.010402713932884e-12
0.0795,-2.012325920675067e-12
0.0796,-2.014248049577145e-12
0.07969999999999999,-2.016169101288198e-12
0.0798,-2.018089076456912e-12
0.0799,-2.020007975731577e-12
0.08,-2.021925799760089e-12
0.0801,-2.023842549189948e-12
0.08019999999999999,-2.02575822466826e-12
0.0803,-2.02767282684174e-12
0.0804,-2.029586356356705e-12
0.0805,-2.031498813859082e-12
0.0806,-2.033410199994402e-12
0.08069999999999999,-2.035320515407803e-12
0.0808,-2.037229760744033e-12
0.0809,-2.039137936647442e-12
0.081,-2.041045043761996e-12
