"time","ca.cyto.c.c","ca.jsr.c.c","ca.nsr.c.c","ca.sub.c.c","cal.i","naca.i"
0.06909999999999999,0.0006903760561040355,0.0478212732130727,1.217791497020516,0.0006370718354445012,-3.57216528095182e-11,-2.786082640095774e-11
0.0692,0.0006900077511126634,0.04785546865961109,1.217857251736265,0.0006366847679070588,-3.567817460421962e-11,-2.783908729819678e-11
0.0693,0.0006896399564643295,0.04788969712223971,1.217922934669486,0.0006362982815735791,-3.563472366092311e-11,-2.781736182643364e-11
0.0694,0.0006892726701847994,0.04792395850628142,1.217988545892261,0.0006359123739166438,-3.559130000895883e-11,-2.779565000033333e-11
0.06950000000000001,0.0006889058903097839,0.0479582527178131,1.218054085476409,0.000635527042422314,-3.554790367756231e-11,-2.77739518345135e-11
0.0696,0.000688539614884907,0.04799257966366428,1.218119553493494,0.0006351422845900607,-3.550453469587452e-11,-2.775226734354455e-11
0.0697,0.0006881738419656725,0.04802693925141491,1.218184950014822,0.0006347580979327694,-3.546119309294178e-11,-2.773059654194955e-11
0.0698,0.0006878085696174261,0.04806133138939183,1.218250275111442,0.0006343744799768178,-3.541787889771593e-11,-2.770893944420431e-11
0.0699,0.0006874437959152146,0.04809575598665704,1.21831552885415,0.0006339914282614997,-3.537459213905428e-11,-2.768729606473738e-11
0.07000000000000001,0.0006870795189437936,0.0481302129530083,1.218380711313486,0.0006336089403393344,-3.533133284571965e-11,-2.766566641793007e-11
0.0701,0.0006867157367976067,0.04816470219897538,1.218445822559741,0.0006332270137758856,-3.52881010463804e-11,-2.764405051811645e-11
0.0702,0.0006863524475806522,0.04819922363581166,1.218510862662953,0.0006328456461496822,-3.52448967696105e-11,-2.762244837958339e-11
0.0703,0.0006859896494064527,0.04823377717549056,1.218575831692909,0.0006324648350521373,-3.520172004388955e-11,-2.760086001657059e-11
0.0704,0.000685627340398025,0.0482683627307032,1.218640729719148,0.0006320845780874378,-3.515857089760281e-11,-2.757928544327054e-11
0.07049999999999999,0.0006852655186878455,0.04830298021485723,1.218705556810961,0.0006317048728723976,-3.511544935904117e-11,-2.755772467382858e-11
