"time","vc.v_stim","vc.i","vc.is_end","vc.is_peak","vc.is_tail","vc.v_pulse","vc.vs_end","vc.vs_tail","vc.v","vc.vs_peak"
2.32,-0.04,2.021441751279377e-12,0,0,0,-0.04,0,0,-0.04,0
2.33,-0.04,2.019005610925488e-12,0,0,0,-0.04,0,0,-0.04,0
2.34,-0.04,2.016604561883888e-12,0,0,0,-0.04,0,0,-0.04,0
2.35,-0.04,2.014238079011331e-12,0,0,0,-0.04,0,0,-0.04,0
2.36,-0.04,2.011905645982645e-12,0,0,0,-0.04,0,0,-0.04,0
2.37,-0.04,2.009606755097632e-12,0,0,0,-0.04,0,0,-0.04,0
2.38,-0.04,2.007340907094087e-12,0,0,0,-0.04,0,0,-0.04,0
2.39,-0.04,2.005107610966664e-12,0,0,0,-0.04,0,0,-0.04,0
2.4,-0.04,2.002906383791368e-12,0,0,0,-0.04,0,0,-0.04,0
2.41,-0.04,2.000736750555522e-12,0,0,0,-0.04,0,0,-0.04,0
2.42,-0.04,1.998598243992497e-12,0,0,0,-0.04,0,0,-0.04,0
2.43,-0.04,1.996490404422051e-12,0,0,0,-0.04,0,0,-0.04,0
2.44,-0.04,1.994412779594955e-12,0,0,0,-0.04,0,0,-0.04,0
2.45,-0.04,1.992364924542307e-12,0,0,0,-0.04,0,0,-0.04,0
2.46,-0.04,1.990346401429232e-12,0,0,0,-0.04,0,0,-0.04,0
2.47,-0.04,1.988356779412789e-12,0,0,0,-0.04,0,0,-0.04,0
2.48,-0.04,1.986395634503927e-12,0,0,0,-0.04,0,0,-0.04,0
2.49,-0.04,1.984462549433326e-12,0,0,0,-0.04,0,0,-0.04,0
2.5,-0.04,1.982557113520967e-12,0,0,0,-0.04,0,0,-0.04,0
2.51,-0.04,1.980678922549309e-12,0,0,0,-0.04,0,0,-0.04,0
2.52,-0.04,1.978827578639902e-12,0,0,0,-0.04,0,0,-0.04,0
2.53,-0.04,1.977002690133338e-12,0,0,0,-0.04,0,0,-0.04,0
2.54,-0.04,1.975203871472392e-12,0,0,0,-0.04,0,0,-0.04,0
2.55,-0.04,1.973430743088285e-12,0,0,0,-0.04,0,0,-0.04,0
2.56,-0.04,1.971682931289752e-12,0,0,0,-0.04,0,0,-0.04,0
2.57,-0.04,1.969960068155188e-12,0,0,0,-0.04,0,0,-0.04,0
2.58,-0.04,1.968261791427437e-12,0,0,0,-0.04,0,0,-0.04,0
2.59,-0.04,1.96658774441122e-12,0,0,0,-0.04,0,0,-0.04,0
2.6,-0.04,1.964937575873137e-12,0,0,0,-0.04,0,0,-0.04,0
2.61,-0.04,1.963310939944136e-12,0,0,0,-0.04,0,0,-0.04,0
2.62,-0.04,1.961707496024363e-12,0,0,0,-0.04,0,0,-0.04,0
2.63,-0.04,1.960126908690303e-12,0,0,0,-0.04,0,0,-0.04,0
2.64,-0.04,1.958568847604142e-12,0,0,0,-0.04,0,0,-0.04,0
2.65,-0.04,1.957032987425269e-12,0,0,0,-0.04,0,0,-0.04,0
2.66,-0.04,1.955519007723843e-12,0,0,0,-0.04,0,0,-0.04,0
2.67,-0.04,1.954026592896359e-12,0,0,0,-0.04,0,0,-0.04,0
2.68,-0.04,1.95255543208315e-12,0,0,0,-0.04,0,0,-0.04,0
2.69,-0.04,1.951105219087765e-12,0,0,0,-0.04,0,0,-0.04,0
2.7,-0.04,1.949675652298105e-12,0,0,0,-0.04,0,0,-0.04,0
2.71,-0.04,1.948266434609351e-12,0,0,0,-0.04,0,0,-0.04,0
2.72,-0.04,1.94687727334861e-12,0,0,0,-0.04,0,0,-0.04,0
2.73,-0.04,1.94550788020115e-12,0,0,0,-0.04,0,0,-0.04,0
2.74,-0.04,1.944157971138233e-12,0,0,0,-0.04,0,0,-0.04,0
2.75,-0.04,1.94282726634649e-12,0,0,0,-0.04,0,0,-0.04,0
2.76,-0.04,1.941515490158789e-12,0,0,0,-0.04,0,0,-0.04,0
2.77,-0.04,1.940222370986546e-12,0,0,0,-0.04,0,0,-0.04,0
2.78,-0.04,1.938947641253435e-12,0,0,0,-0.04,0,0,-0.04,0
2.79,-0.04,1.937691037330459e-12,0,0,0,-0.04,0,0,-0.04,0
2.8,-0.04,1.936452299472344e-12,0,0,0,-0.04,0,0,-0.04,0
2.81,-0.04,1.935231171755209e-12,0,0,0,-0.04,0,0,-0.04,0
2.82,-0.04,1.934027402015486e-12,0,0,0,-0.04,0,0,-0.04,0
2.83,-0.04,1.93284074179004e-12,0,0,0,-0.04,0,0,-0.04,0
2.84,-0.04,1.931670946257485e-12,0,0,0,-0.04,0,0,-0.04,0
2.85,-0.04,1.930517774180571e-12,0,0,0,-0.04,0,0,-0.04,0
2.86,-0.04,1.9293809878498e-12,0,0,0,-0.04,0,0,-0.04,0
2.87,-0.04,1.928260353028032e-12,0,0,0,-0.04,0,0,-0.04,0
2.88,-0.04,1.927155638896167e-12,0,0,0,-0.04,0,0,-0.04,0
2.89,-0.04,1.926066617999846e-12,0,0,0,-0.04,0,0,-0.04,0
2.9,-0.04,1.924993066197157e-12,0,0,0,-0.04,0,0,-0.04,0
2.91,-0.04,1.923934762607297e-12,0,0,0,-0.04,0,0,-0.04,0
2.92,-0.04,1.922891489560193e-12,0,0,0,-0.04,0,0,-0.04,0
2.93,-0.04,1.921863032547032e-12,0,0,0,-0.04,0,0,-0.04,0
2.94,-0.04,1.920849180171695e-12,0,0,0,-0.04,0,0,-0.04,0
2.95,-0.04,1.919849724103061e-12,0,0,0,-0.04,0,0,-0.04,0
2.96,-0.04,1.918864459028169e-12,0,0,0,-0.04,0,0,-0.04,0
2.97,-0.04,1.917893182606205e-12,0,0,0,-0.04,0,0,-0.04,0
2.98,-0.04,1.916935695423324e-12,0,0,0,-0.04,0,0,-0.04,0
2.99,-0.04,1.915991800948202e-12,0,0,0,-0.04,0,0,-0.04,0
3,-0.04,1.915061305488447e-12,0,0,0,-0.04,0,0,-0.04,0
3.01,-0.04,1.914144018147717e-12,0,0,0,-0.04,0,0,-0.04,0
3.02,-0.04,1.913239750783578e-12,0,0,0,-0.04,0,0,-0.04,0
3.03,-0.04,1.912348317966091e-12,0,0,0,-0.04,0,0,-0.04,0
3.04,-0.04,1.911469536937101e-12,0,0,0,-0.04,0,0,-0.04,0
3.05,-0.04,1.91060322757022e-12,0,0,0,-0.04,0,0,-0.04,0
3.06,-0.04,1.909749212331474e-12,0,0,0,-0.04,0,0,-0.04,0
3.07,-0.04,1.90890731624062e-12,0,0,0,-0.04,0,0,-0.04,0
3.08,-0.04,1.908077366833101e-12,0,0,0,-0.04,0,0,-0.04,0
3.09,-0.04,1.907259194122633e-12,0,0,0,-0.04,0,0,-0.04,0
3.1,-0.04,1.906452630564409e-12,0,0,0,-0.04,0,0,-0.04,0
3.11,-0.04,1.905657511018909e-12,0,0,0,-0.04,0,0,-0.04,0
3.12,-0.04,1.904873672716308e-12,0,0,0,-0.04,0,0,-0.04,0
3.13,-0.04,1.904100955221431e-12,0,0,0,-0.04,0,0,-0.04,0
3.14,-0.04,1.903339200399321e-12,0,0,0,-0.04,0,0,-0.04,0
3.15,-0.04,1.902588252381336e-12,0,0,0,-0.04,0,0,-0.04,0
3.16,-0.04,1.901847957531801e-12,0,0,0,-0.04,0,0,-0.04,0
3.17,-0.04,1.90111816441518e-12,0,0,0,-0.04,0,0,-0.04,0
