"time","l2.v","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
28.5,-0.05,-1.933621680273337e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.6,-0.05,-1.905163138149202e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.7,-0.05,-1.879073597962336e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.8,-0.05,-1.855158253285144e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
28.9,-0.05,-1.833233497821014e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29,-0.05,-1.813138941495787e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.1,-0.05,-1.79471991171444e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.2,-0.05,-1.777833346736399e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.3,-0.05,-1.762355851889276e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.4,-0.05,-1.748169181545376e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.5,-0.05,-1.735166407284846e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.6,-0.05,-1.723247070170179e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.7,-0.05,-1.712320216211373e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.8,-0.05,-1.702304880992558e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
29.9,-0.05,-1.693125441438773e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30,-0.05,-1.684712035342347e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.1,-0.05,-1.677001259122775e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.2,-0.05,-1.669933868837721e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.3,-0.05,-1.663455973949763e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.4,-0.05,-1.657518078843661e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.5,-0.05,-1.652074740876032e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.6,-0.05,-1.647085168891393e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.7,-0.05,-1.642510983296971e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.8,-0.05,-1.63831860019707e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
30.9,-0.05,-1.634475638471317e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31,-0.05,-1.630953195005873e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.1,-0.05,-1.627724237391166e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.2,-0.05,-1.624764080045994e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.3,-0.05,-1.62205180630699e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.4,-0.05,-1.619566111597852e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.5,-0.05,-1.617287926616521e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.6,-0.05,-1.615200176865461e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.7,-0.05,-1.613286526324647e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.8,-0.05,-1.611531640859935e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
31.9,-0.05,-1.609923279215684e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32,-0.05,-1.608449300647914e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.1,-0.05,-1.607098108941131e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.2,-0.05,-1.605859519162758e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.3,-0.05,-1.604724073411213e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.4,-0.05,-1.603682871828259e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.5,-0.05,-1.602728281506713e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.6,-0.05,-1.601853374596424e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.7,-0.05,-1.601051348348216e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.8,-0.05,-1.600316162433119e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
32.9,-0.05,-1.599642257532212e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33,-0.05,-1.599024379663132e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.1,-0.05,-1.598457898486985e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.2,-0.05,-1.597938800602872e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.3,-0.05,-1.597462968544664e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.4,-0.05,-1.597026785521218e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.5,-0.05,-1.596627013029025e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.6,-0.05,-1.596260482251332e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.7,-0.05,-1.59592437744054e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.8,-0.05,-1.595616371816806e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
33.9,-0.05,-1.595334010592484e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34,-0.05,-1.595075142440404e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34.1,-0.05,-1.594837849826985e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34.2,-0.05,-1.594620284659102e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34.3,-0.05,-1.594420777649171e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34.4,-0.05,-1.594237994121664e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34.5,-0.05,-1.59407052200635e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
34.6,-0.05,-1.593917130897708e-12,-8.440943253302778e-11,-0.115,-0.12,-0.05
