"time","an.cell.l2.v","n.cell.l2.v","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0.0166,0.008556827134898042,-0.05549678909009043,0.01045770757533969,0.008556827134898042,-0.05549678909009043,0.01045770757533969
0.0167,0.009318053421265108,-0.05542838117079195,0.01149819524377826,0.009318053421265108,-0.05542838117079195,0.01149819524377826
0.0168,0.01004341443317214,-0.05536064679671682,0.01251177455191761,0.01004341443317214,-0.05536064679671682,0.01251177455191761
0.0169,0.01073218361691584,-0.05529357742330446,0.01349230517831074,0.01073218361691584,-0.05529357742330446,0.01349230517831074
0.017,0.01138318853399731,-0.05522716462412611,0.01443407382018554,0.01138318853399731,-0.05522716462412611,0.01443407382018554
0.0171,0.01199520361636457,-0.05516140008914877,0.01533213717499017,0.01199520361636457,-0.05516140008914877,0.01533213717499017
0.0172,0.01256720892518523,-0.05509627562302518,0.01618253380778277,0.01256720892518523,-0.05509627562302518,0.01618253380778277
0.0173,0.0130985453250604,-0.05503178314340963,0.0169823822987178,0.0130985453250604,-0.05503178314340963,0.0169823822987178
0.0174,0.01358899141936558,-0.05496791467929891,0.0177298869653239,0.01358899141936558,-0.05496791467929891,0.0177298869653239
0.0175,0.01403878338009159,-0.0549046623693984,0.01842427430105399,0.01403878338009159,-0.0549046623693984,0.01842427430105399
0.0176,0.01444859510467634,-0.0548420184605125,0.01906568277245949,0.01444859510467634,-0.0548420184605125,0.01906568277245949
0.0177,0.01481949278108463,-0.05477997530595939,0.01965502616062165,0.01481949278108463,-0.05477997530595939,0.01965502616062165
0.0178,0.01515287490152648,-0.05471852536400958,0.02019384694605312,0.01515287490152648,-0.05471852536400958,0.02019384694605312
0.0179,0.01545040605670377,-0.05465766119634793,0.02068417208759739,0.01545040605670377,-0.05465766119634793,0.02068417208759739
0.018,0.01571395050269158,-0.05459737546655878,0.02112837955317889,0.01571395050269158,-0.05459737546655878,0.02112837955317889
0.0181,0.0159455095445001,-0.054537660938634,0.02152908051908041,0.0159455095445001,-0.054537660938634,0.02152908051908041
0.0182,0.01614716522284128,-0.05447851047550324,0.02188901944659014,0.01614716522284128,-0.05447851047550324,0.02188901944659014
0.0183,0.01632103159811404,-0.05441991703758647,0.02221099228858752,0.01632103159811404,-0.05441991703758647,0.02221099228858752
0.0184,0.01646921405567375,-0.05436187368136824,0.0224977817929531,0.01646921405567375,-0.05436187368136824,0.0224977817929531
0.0185,0.0165937764601557,-0.05430437355799342,0.02275210813055965,0.0165937764601557,-0.05430437355799342,0.02275210813055965
0.0186,0.01669671559984117,-0.05424740991188398,0.02297659272629295,0.01669671559984117,-0.05424740991188398,0.02297659272629295
0.0187,0.01677994214827987,-0.05419097607937681,0.02317373311460885,0.01677994214827987,-0.05419097607937681,0.02317373311460885
0.0188,0.01684526727237574,-0.05413506548738173,0.02334588674895384,0.01684526727237574,-0.05413506548738173,0.02334588674895384
0.0189,0.01689439400272005,-0.05407967165206003,0.02349526190217139,0.01689439400272005,-0.05407967165206003,0.02349526190217139
0.019,0.01692891252251763,-0.05402478817752271,0.02362391404546354,0.01692891252251763,-0.05402478817752271,0.02362391404546354
0.0191,0.01695029860419746,-0.05397040875454829,0.02373374635144374,0.01695029860419746,-0.05397040875454829,0.02373374635144374
0.0192,0.01695991451132424,-0.05391652715932019,0.02382651321038466,0.01695991451132424,-0.05391652715932019,0.02382651321038466
0.0193,0.01695901177739959,-0.05386313725218286,0.02390382586751774,0.01695901177739959,-0.05386313725218286,0.02390382586751774
0.0194,0.01694873536489182,-0.05381023297641681,0.02396715947791349,0.01694873536489182,-0.05381023297641681,0.02396715947791349
0.0195,0.01693012879330005,-0.05375780835703206,0.02401786103402494,0.01693012879330005,-0.05375780835703206,0.02401786103402494
0.0196,0.0169041399019027,-0.05370585749957976,0.02405715775129891,0.0169041399019027,-0.05370585749957976,0.02405715775129891
0.0197,0.01687162698002024,-0.05365437458898176,0.02408616560241993,0.01687162698002024,-0.05365437458898176,0.02408616560241993
0.0198,0.01683336505524769,-0.05360335388837781,0.02410589777442734,0.01683336505524769,-0.05360335388837781,0.02410589777442734
0.0199,0.0167900521785853,-0.05355278973799016,0.02411727288856032,0.0167900521785853,-0.05355278973799016,0.02411727288856032
0.02,0.01674231558560364,-0.05350267655400525,0.02412112287354635,0.01674231558560364,-0.05350267655400525,0.02412112287354635
0.0201,0.01669071764563945,-0.05345300882747234,0.02411820042193107,0.01669071764563945,-0.05345300882747234,0.02411820042193107
0.0202,0.01663576153754325,-0.05340378112321865,0.02410918598844062,0.01663576153754325,-0.05340378112321865,0.02410918598844062
0.0203,0.01657789661160902,-0.05335498807878099,0.02409469431120916,0.01657789661160902,-0.05335498807878099,0.02409469431120916
0.0204,0.0165175234138947,-0.0533066244033534,0.02407528045268284,0.0165175234138947,-0.0533066244033534,0.02407528045268284
0.0205,0.01645499836196641,-0.05325868487675073,0.02405144536843797,0.01645499836196641,-0.05325868487675073,0.02405144536843797
0.0206,0.01639063807068417,-0.0532111643483879,0.02402364101988395,0.01639063807068417,-0.0532111643483879,0.02402364101988395
0.0207,0.0163247233349843,-0.05316405773627447,0.0239922750534318,0.0163247233349843,-0.05316405773627447,0.0239922750534318
0.0208,0.01625750277912773,-0.05311736002602441,0.0239577150685797,0.01625750277912773,-0.05311736002602441,0.0239577150685797
0.0209,0.01618919618894289,-0.05307106626988092,0.02392029250344107,0.01618919618894289,-0.05307106626988092,0.02392029250344107
0.021,0.01611999754381083,-0.05302517158575583,0.02388030616411167,0.01611999754381083,-0.05302517158575583,0.02388030616411167
0.0211,0.01605007776711749,-0.0529796711562836,0.02383802542491871,0.01605007776711749,-0.0529796711562836,0.02383802542491871
0.0212,0.01597958721459897,-0.05293456022788956,0.0237936931259347,0.01597958721459897,-0.05293456022788956,0.0237936931259347
0.0213,0.01590865792010774,-0.05288983410987218,0.02374752819308391,0.01590865792010774,-0.05288983410987218,0.02374752819308391
