"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
2.61,-0.08,-3.004014765573503e-13,0,-0.08,0,-0.08
2.62,-0.08,-3.008173402577031e-13,0,-0.08,0,-0.08
2.63,-0.08,-3.012304887093084e-13,0,-0.08,0,-0.08
2.64,-0.08,-3.016409393982359e-13,0,-0.08,0,-0.08
2.65,-0.08,-3.020487096702697e-13,0,-0.08,0,-0.08
2.66,-0.08,-3.024538167309089e-13,0,-0.08,0,-0.08
2.67,-0.08,-3.02856277645368e-13,0,-0.08,0,-0.08
2.68,-0.08,-3.032561093385761e-13,0,-0.08,0,-0.08
2.69,-0.08,-3.036533285951781e-13,0,-0.08,0,-0.08
2.7,-0.08,-3.040479520595347e-13,0,-0.08,0,-0.08
2.71,-0.08,-3.044399962357219e-13,0,-0.08,0,-0.08
2.72,-0.08,-3.048294774875323e-13,0,-0.08,0,-0.08
2.73,-0.08,-3.052164120384739e-13,0,-0.08,0,-0.08
2.74,-0.08,-3.056008258548563e-13,0,-0.08,0,-0.08
2.75,-0.08,-3.059827376660251e-13,0,-0.08,0,-0.08
2.76,-0.08,-3.063621558772895e-13,0,-0.08,0,-0.08
2.77,-0.08,-3.067390967031552e-13,0,-0.08,0,-0.08
2.78,-0.08,-3.071135762410803e-13,0,-0.08,0,-0.08
2.79,-0.08,-3.074856104714759e-13,0,-0.08,0,-0.08
2.8,-0.08,-3.078552152577054e-13,0,-0.08,0,-0.08
2.81,-0.08,-3.082224063460854e-13,0,-0.08,0,-0.08
2.82,-0.08,-3.085871993658858e-13,0,-0.08,0,-0.08
2.83,-0.08,-3.089496098293297e-13,0,-0.08,0,-0.08
2.84,-0.08,-3.093096531315937e-13,0,-0.08,0,-0.08
2.85,-0.08,-3.096673445508081e-13,0,-0.08,0,-0.08
2.86,-0.08,-3.10022699248057e-13,0,-0.08,0,-0.08
2.87,-0.08,-3.103757322673787e-13,0,-0.08,0,-0.08
2.88,-0.08,-3.107264588750277e-13,0,-0.08,0,-0.08
2.89,-0.08,-3.110749058197723e-13,0,-0.08,0,-0.08
2.9,-0.08,-3.114210786524247e-13,0,-0.08,0,-0.08
2.91,-0.08,-3.117649922873145e-13,0,-0.08,0,-0.08
2.92,-0.08,-3.121066615362639e-13,0,-0.08,0,-0.08
2.93,-0.08,-3.124461011085878e-13,0,-0.08,0,-0.08
2.94,-0.08,-3.127833256110927e-13,0,-0.08,0,-0.08
2.95,-0.08,-3.131183495480773e-13,0,-0.08,0,-0.08
2.96,-0.08,-3.134511873213315e-13,0,-0.08,0,-0.08
2.97,-0.08,-3.137818532301365e-13,0,-0.08,0,-0.08
2.98,-0.08,-3.141103614712644e-13,0,-0.08,0,-0.08
2.99,-0.08,-3.144367261389777e-13,0,-0.08,0,-0.08
3,-0.08,-3.147609612250295e-13,0,-0.08,0,-0.08
3.01,-0.08,-3.150830806186628e-13,0,-0.08,0,-0.08
3.02,-0.08,-3.154030981066106e-13,0,-0.08,0,-0.08
3.03,-0.08,-3.157210265891459e-13,0,-0.08,0,-0.08
3.04,-0.08,-3.160368794277477e-13,0,-0.08,0,-0.08
3.05,-0.08,-3.163506706250044e-13,0,-0.08,0,-0.08
3.06,-0.08,-3.166624134919296e-13,0,-0.08,0,-0.08
3.07,-0.08,-3.169721212321979e-13,0,-0.08,0,-0.08
3.08,-0.08,-3.172798069419914e-13,0,-0.08,0,-0.08
3.09,-0.08,-3.175854836098466e-13,0,-0.08,0,-0.08
3.1,-0.08,-3.178891641165003e-13,0,-0.08,0,-0.08
3.11,-0.08,-3.181908612347374e-13,0,-0.08,0,-0.08
3.12,-0.08,-3.184905876292363e-13,0,-0.08,0,-0.08
3.13,-0.08,-3.187883558564167e-13,0,-0.08,0,-0.08
3.14,-0.08,-3.190841783642853e-13,0,-0.08,0,-0.08
3.15,-0.08,-3.193780674922832e-13,0,-0.08,0,-0.08
3.16,-0.08,-3.196700354711322e-13,0,-0.08,0,-0.08
3.17,-0.08,-3.199600948636451e-13,0,-0.08,0,-0.08
3.18,-0.08,-3.202482682771383e-13,0,-0.08,0,-0.08
3.19,-0.08,-3.205345598626676e-13,0,-0.08,0,-0.08
3.2,-0.08,-3.208189818766664e-13,0,-0.08,0,-0.08
3.21,-0.08,-3.21101546500762e-13,0,-0.08,0,-0.08
3.22,-0.08,-3.213822658427418e-13,0,-0.08,0,-0.08
3.23,-0.08,-3.216611519375173e-13,0,-0.08,0,-0.08
3.24,-0.08,-3.219382167480915e-13,0,-0.08,0,-0.08
3.25,-0.08,-3.222134721665237e-13,0,-0.08,0,-0.08
3.26,-0.08,-3.224869300148954e-13,0,-0.08,0,-0.08
3.27,-0.08,-3.227586020462763e-13,0,-0.08,0,-0.08
3.28,-0.08,-3.230284999456902e-13,0,-0.08,0,-0.08
3.29,-0.08,-3.232966353310804e-13,0,-0.08,0,-0.08
3.3,-0.08,-3.235630197542766e-13,0,-0.08,0,-0.08
3.31,-0.08,-3.238276647019601e-13,0,-0.08,0,-0.08
3.32,-0.08,-3.240905810948437e-13,0,-0.08,0,-0.08
3.33,-0.08,-3.243517801779111e-13,0,-0.08,0,-0.08
3.34,-0.08,-3.246112735634069e-13,0,-0.08,0,-0.08
3.35,-0.08,-3.248690724458125e-13,0,-0.08,0,-0.08
3.36,-0.08,-3.251251879562301e-13,0,-0.08,0,-0.08
3.37,-0.08,-3.253796311632498e-13,0,-0.08,0,-0.08
3.38,-0.08,-3.256324130738158e-13,0,-0.08,0,-0.08
3.39,-0.08,-3.258835446340929e-13,0,-0.08,0,-0.08
3.4,-0.08,-3.261330367303334e-13,0,-0.08,0,-0.08
3.41,-0.08,-3.263809001897425e-13,0,-0.08,0,-0.08
3.42,-0.08,-3.26627145781346e-13,0,-0.08,0,-0.08
3.43,-0.08,-3.268717842168556e-13,0,-0.08,0,-0.08
3.44,-0.08,-3.271148261515355e-13,0,-0.08,0,-0.08
3.45,-0.08,-3.273562821850681e-13,0,-0.08,0,-0.08
3.46,-0.08,-3.275961626061503e-13,0,-0.08,0,-0.08
3.47,-0.08,-3.278344733325514e-13,0,-0.08,0,-0.08
3.48,-0.08,-3.280712281804982e-13,0,-0.08,0,-0.08
3.49,-0.08,-3.283064373320254e-13,0,-0.08,0,-0.08
3.5,-0.08,-3.285401109026421e-13,0,-0.08,0,-0.08
3.51,-0.08,-3.287722589417082e-13,0,-0.08,0,-0.08
3.52,-0.08,-3.290028914328096e-13,0,-0.08,0,-0.08
3.53,-0.08,-3.292320182941339e-13,0,-0.08,0,-0.08
3.54,-0.08,-3.294596493788456e-13,0,-0.08,0,-0.08
3.55,-0.08,-3.296857944754621e-13,0,-0.08,0,-0.08
3.56,-0.08,-3.299104633082292e-13,0,-0.08,0,-0.08
