"time","v","der(v)","flux","flux0"
30.5,0.0105,0.001,-1.034814517827926e-08,-1.34944386579954e-08
30.6,0.0106,0.001,-1.031983630394995e-08,-1.34944386579954e-08
30.7,0.0107,0.001,-1.029155842473751e-08,-1.34944386579954e-08
30.8,0.0108,0.001,-1.026331153142877e-08,-1.34944386579954e-08
30.9,0.0109,0.001,-1.023509561472737e-08,-1.34944386579954e-08
31,0.011,0.001,-1.020691066525383e-08,-1.34944386579954e-08
31.1,0.0111,0.001,-1.017875667354566e-08,-1.34944386579954e-08
31.2,0.0112,0.001,-1.015063363005742e-08,-1.34944386579954e-08
31.3,0.0113,0.001,-1.012254152516087e-08,-1.34944386579954e-08
31.4,0.0114,0.001,-1.0094480349145e-08,-1.34944386579954e-08
31.5,0.0115,0.001,-1.006645009221617e-08,-1.34944386579954e-08
31.6,0.0116,0.001,-1.003845074449818e-08,-1.34944386579954e-08
31.7,0.0117,0.001,-1.00104822960324e-08,-1.34944386579954e-08
31.8,0.0118,0.001,-9.982544736777834e-09,-1.34944386579954e-08
31.9,0.0119,0.001,-9.954638056611223e-09,-1.34944386579954e-08
32,0.012,0.001,-9.926762245327157e-09,-1.34944386579954e-08
32.1,0.0121,0.001,-9.89891729263817e-09,-1.34944386579954e-08
32.2,0.0122,0.001,-9.871103188174845e-09,-1.34944386579954e-08
32.3,0.01229999999999999,0.001,-9.843319921485898e-09,-1.34944386579954e-08
32.4,0.0124,0.001,-9.815567482038297e-09,-1.34944386579954e-08
32.5,0.0125,0.001,-9.787845859217357e-09,-1.34944386579954e-08
32.6,0.0126,0.001,-9.760155042326861e-09,-1.34944386579954e-08
32.7,0.0127,0.001,-9.732495020589127e-09,-1.34944386579954e-08
32.8,0.0128,0.001,-9.704865783145146e-09,-1.34944386579954e-08
32.9,0.0129,0.001,-9.67726731905468e-09,-1.34944386579954e-08
33,0.013,0.001,-9.649699617296367e-09,-1.34944386579954e-08
33.1,0.0131,0.001,-9.622162666767819e-09,-1.34944386579954e-08
33.2,0.0132,0.001,-9.594656456285742e-09,-1.34944386579954e-08
33.3,0.0133,0.001,-9.567180974586049e-09,-1.34944386579954e-08
33.4,0.0134,0.001,-9.539736210323949e-09,-1.34944386579954e-08
33.5,0.0135,0.001,-9.512322152074076e-09,-1.34944386579954e-08
33.6,0.0136,0.001,-9.484938788330595e-09,-1.34944386579954e-08
33.7,0.0137,0.001,-9.457586107507316e-09,-1.34944386579954e-08
33.8,0.01379999999999999,0.001,-9.430264097937796e-09,-1.34944386579954e-08
33.9,0.0139,0.001,-9.402972747875456e-09,-1.34944386579954e-08
34,0.014,0.001,-9.375712045493718e-09,-1.34944386579954e-08
34.1,0.0141,0.001,-9.348481978886078e-09,-1.34944386579954e-08
34.2,0.0142,0.001,-9.321282536066261e-09,-1.34944386579954e-08
34.3,0.01429999999999999,0.001,-9.294113704968307e-09,-1.34944386579954e-08
34.4,0.0144,0.001,-9.266975473446698e-09,-1.34944386579954e-08
34.5,0.0145,0.001,-9.239867829276494e-09,-1.34944386579954e-08
34.6,0.0146,0.001,-9.21279076015342e-09,-1.34944386579954e-08
34.7,0.0147,0.001,-9.185744253694011e-09,-1.34944386579954e-08
34.8,0.01479999999999999,0.001,-9.158728297435716e-09,-1.34944386579954e-08
34.9,0.0149,0.001,-9.131742878837019e-09,-1.34944386579954e-08
35,0.015,0.001,-9.104787985277578e-09,-1.34944386579954e-08
35.1,0.0151,0.001,-9.077863604058312e-09,-1.34944386579954e-08
35.2,0.0152,0.001,-9.050969722401566e-09,-1.34944386579954e-08
35.3,0.01529999999999999,0.001,-9.024106327451204e-09,-1.34944386579954e-08
