"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
2.43,-0.08,-4.500475135517101e-13,0,-0.08,0,-0.08
2.44,-0.08,-4.507675659938443e-13,0,-0.08,0,-0.08
2.45,-0.08,-4.514829261032384e-13,0,-0.08,0,-0.08
2.46,-0.08,-4.521936288416867e-13,0,-0.08,0,-0.08
2.47,-0.08,-4.528996928786191e-13,0,-0.08,0,-0.08
2.48,-0.08,-4.536011486857676e-13,0,-0.08,0,-0.08
2.49,-0.08,-4.542980265300925e-13,0,-0.08,0,-0.08
2.5,-0.08,-4.549903564737826e-13,0,-0.08,0,-0.08
2.51,-0.08,-4.556781683742567e-13,0,-0.08,0,-0.08
2.52,-0.08,-4.563614918841636e-13,0,-0.08,0,-0.08
2.53,-0.08,-4.570403564513838e-13,0,-0.08,0,-0.08
2.54,-0.08,-4.577147913190302e-13,0,-0.08,0,-0.08
2.55,-0.08,-4.583848255254481e-13,0,-0.08,0,-0.08
2.56,-0.08,-4.590504879042174e-13,0,-0.08,0,-0.08
2.57,-0.08,-4.597118070841522e-13,0,-0.08,0,-0.08
2.58,-0.08,-4.603688114893014e-13,0,-0.08,0,-0.08
2.59,-0.08,-4.610215291940133e-13,0,-0.08,0,-0.08
2.6,-0.08,-4.616699786577341e-13,0,-0.08,0,-0.08
2.61,-0.08,-4.623141949376145e-13,0,-0.08,0,-0.08
2.62,-0.08,-4.629542053734003e-13,0,-0.08,0,-0.08
2.63,-0.08,-4.635900370886379e-13,0,-0.08,0,-0.08
2.64,-0.08,-4.642217169906727e-13,0,-0.08,0,-0.08
2.65,-0.08,-4.648492717706488e-13,0,-0.08,0,-0.08
2.66,-0.08,-4.654727279035071e-13,0,-0.08,0,-0.08
2.67,-0.08,-4.660921116479837e-13,0,-0.08,0,-0.08
2.68,-0.08,-4.667074490466091e-13,0,-0.08,0,-0.08
2.69,-0.08,-4.673187659257074e-13,0,-0.08,0,-0.08
